home_team,away_team,home_goals,away_goals,date,league_slug
Bayern Munich,Eintracht Frankfurt,1,0,2016-04-02,statsbomb-1.-bundesliga
Hertha Berlin,Hannover 96,2,2,2016-04-08,statsbomb-1.-bundesliga
Hamburger SV,Darmstadt 98,1,2,2016-04-09,statsbomb-1.-bundesliga
Hertha Berlin,FSV Mainz 05,2,0,2015-12-20,statsbomb-1.-bundesliga
Hoffenheim,Hannover 96,1,0,2015-12-12,statsbomb-1.-bundesliga
Borussia Dortmund,Eintracht Frankfurt,4,1,2015-12-13,statsbomb-1.-bundesliga
Wolfsburg,Hamburger SV,1,1,2015-12-12,statsbomb-1.-bundesliga
Borussia Dortmund,VfB Stuttgart,4,1,2015-11-29,statsbomb-1.-bundesliga
Schalke 04,Hannover 96,3,1,2015-12-04,statsbomb-1.-bundesliga
FSV Mainz 05,Hannover 96,3,0,2015-08-29,statsbomb-1.-bundesliga
Bayern Munich,Augsburg,2,1,2015-09-12,statsbomb-1.-bundesliga
Hamburger SV,VfB Stuttgart,3,2,2015-08-22,statsbomb-1.-bundesliga
Hertha Berlin,Werder Bremen,1,1,2015-08-21,statsbomb-1.-bundesliga
Augsburg,Schalke 04,2,1,2015-12-13,statsbomb-1.-bundesliga
Augsburg,Hamburger SV,1,3,2016-05-14,statsbomb-1.-bundesliga
Bayer Leverkusen,Ingolstadt,3,2,2016-05-14,statsbomb-1.-bundesliga
Borussia Dortmund,FC Köln,2,2,2016-05-14,statsbomb-1.-bundesliga
Darmstadt 98,Borussia Mönchengladbach,0,2,2016-05-14,statsbomb-1.-bundesliga
Bayern Munich,Hannover 96,3,1,2016-05-14,statsbomb-1.-bundesliga
FSV Mainz 05,Hertha Berlin,0,0,2016-05-14,statsbomb-1.-bundesliga
Werder Bremen,Eintracht Frankfurt,1,0,2016-05-14,statsbomb-1.-bundesliga
Wolfsburg,VfB Stuttgart,3,1,2016-05-14,statsbomb-1.-bundesliga
Hertha Berlin,Darmstadt 98,1,2,2016-05-07,statsbomb-1.-bundesliga
FC Köln,Werder Bremen,0,0,2016-05-07,statsbomb-1.-bundesliga
Eintracht Frankfurt,Borussia Dortmund,1,0,2016-05-07,statsbomb-1.-bundesliga
VfB Stuttgart,FSV Mainz 05,1,3,2016-05-07,statsbomb-1.-bundesliga
Hamburger SV,Wolfsburg,0,1,2016-05-07,statsbomb-1.-bundesliga
Borussia Mönchengladbach,Bayer Leverkusen,2,1,2016-05-07,statsbomb-1.-bundesliga
Schalke 04,Augsburg,1,1,2016-05-07,statsbomb-1.-bundesliga
Ingolstadt,Bayern Munich,1,2,2016-05-07,statsbomb-1.-bundesliga
Hannover 96,Hoffenheim,1,0,2016-05-07,statsbomb-1.-bundesliga
Werder Bremen,VfB Stuttgart,6,2,2016-05-02,statsbomb-1.-bundesliga
FSV Mainz 05,Hamburger SV,0,0,2016-04-30,statsbomb-1.-bundesliga
Hoffenheim,Ingolstadt,2,1,2016-04-30,statsbomb-1.-bundesliga
Hannover 96,Schalke 04,1,3,2016-04-30,statsbomb-1.-bundesliga
Borussia Dortmund,Wolfsburg,5,1,2016-04-30,statsbomb-1.-bundesliga
Bayern Munich,Borussia Mönchengladbach,1,1,2016-04-30,statsbomb-1.-bundesliga
Bayer Leverkusen,Hertha Berlin,2,1,2016-04-30,statsbomb-1.-bundesliga
