home_team,away_team,home_goals,away_goals,date,league_slug
Scotland,England,0,0,1872-11-30,international-friendly
England,Scotland,4,2,1873-03-08,international-friendly
Scotland,England,2,1,1874-03-07,international-friendly
England,Scotland,2,2,1875-03-06,international-friendly
Scotland,England,3,0,1876-03-04,international-friendly
Scotland,Wales,4,0,1876-03-25,international-friendly
England,Scotland,1,3,1877-03-03,international-friendly
Wales,Scotland,0,2,1877-03-05,international-friendly
Scotland,England,7,2,1878-03-02,international-friendly
Scotland,Wales,9,0,1878-03-23,international-friendly
England,Wales,2,1,1879-01-18,international-friendly
England,Scotland,5,4,1879-04-05,international-friendly
Wales,Scotland,0,3,1879-04-07,international-friendly
Scotland,England,5,4,1880-03-13,international-friendly
Wales,England,2,3,1880-03-15,international-friendly
Scotland,Wales,5,1,1880-03-27,international-friendly
England,Wales,0,1,1881-02-26,international-friendly
England,Scotland,1,6,1881-03-12,international-friendly
Wales,Scotland,1,5,1881-03-14,international-friendly
Northern Ireland,England,0,13,1882-02-18,international-friendly
Wales,Northern Ireland,7,1,1882-02-25,international-friendly
Scotland,England,5,1,1882-03-11,international-friendly
Wales,England,5,3,1882-03-13,international-friendly
Scotland,Wales,5,0,1882-03-25,international-friendly
England,Wales,5,0,1883-02-03,international-friendly
England,Northern Ireland,7,0,1883-02-24,international-friendly
England,Scotland,2,3,1883-03-10,international-friendly
Wales,Scotland,0,3,1883-03-12,international-friendly
Northern Ireland,Wales,1,1,1883-03-17,international-friendly
Northern Ireland,Scotland,0,5,1884-01-26,international-british-home-championship
Wales,Northern Ireland,6,0,1884-02-09,international-british-home-championship
Northern Ireland,England,1,8,1884-02-23,international-british-home-championship
Scotland,England,1,0,1884-03-15,international-british-home-championship
Wales,England,0,4,1884-03-17,international-british-home-championship
Scotland,Wales,4,1,1884-03-29,international-british-home-championship
England,Northern Ireland,4,0,1885-02-28,international-british-home-championship
England,Wales,1,1,1885-03-14,international-british-home-championship
Scotland,Northern Ireland,8,2,1885-03-14,international-british-home-championship
England,Scotland,1,1,1885-03-21,international-british-home-championship
Wales,Scotland,1,8,1885-03-23,international-british-home-championship
Northern Ireland,Wales,2,8,1885-04-11,international-british-home-championship
United States,Canada,0,1,1885-11-28,international-friendly
Wales,Northern Ireland,5,0,1886-02-27,international-british-home-championship
Northern Ireland,England,1,6,1886-03-13,international-british-home-championship
Northern Ireland,Scotland,2,7,1886-03-20,international-british-home-championship
Scotland,England,1,1,1886-03-27,international-british-home-championship
Wales,England,1,3,1886-03-29,international-british-home-championship
Scotland,Wales,4,1,1886-04-10,international-british-home-championship
United States,Canada,3,2,1886-11-25,international-friendly
England,Northern Ireland,7,0,1887-02-05,international-british-home-championship
Scotland,Northern Ireland,4,1,1887-02-19,international-british-home-championship
England,Wales,4,0,1887-02-26,international-british-home-championship
Northern Ireland,Wales,4,1,1887-03-12,international-british-home-championship
England,Scotland,2,3,1887-03-19,international-british-home-championship
Wales,Scotland,0,2,1887-03-21,international-british-home-championship
England,Wales,5,1,1888-02-04,international-british-home-championship
Wales,Northern Ireland,11,0,1888-03-03,international-british-home-championship
Scotland,Wales,5,1,1888-03-10,international-british-home-championship
Scotland,England,0,5,1888-03-17,international-british-home-championship
Northern Ireland,Scotland,2,10,1888-03-24,international-british-home-championship
Northern Ireland,England,1,5,1888-04-07,international-british-home-championship
Scotland,Canada,4,0,1888-09-19,international-friendly
England,Wales,4,1,1889-02-23,international-british-home-championship
England,Northern Ireland,6,1,1889-03-02,international-british-home-championship
Scotland,Northern Ireland,7,0,1889-03-09,international-british-home-championship
England,Scotland,2,3,1889-04-13,international-british-home-championship
Wales,Scotland,0,0,1889-04-15,international-british-home-championship
Northern Ireland,Wales,1,3,1889-04-27,international-british-home-championship
Wales,Northern Ireland,5,2,1890-02-08,international-british-home-championship
Northern Ireland,England,1,9,1890-03-15,international-british-home-championship
Wales,England,1,3,1890-03-15,international-british-home-championship
Scotland,Wales,5,0,1890-03-22,international-british-home-championship
Northern Ireland,Scotland,1,4,1890-03-29,international-british-home-championship
Scotland,England,1,1,1890-04-05,international-british-home-championship
Northern Ireland,Wales,7,2,1891-02-07,international-british-home-championship
England,Wales,4,1,1891-03-07,international-british-home-championship
England,Northern Ireland,6,1,1891-03-07,international-british-home-championship
Wales,Scotland,3,4,1891-03-21,international-british-home-championship
Scotland,Northern Ireland,2,1,1891-03-28,international-british-home-championship
England,Scotland,2,1,1891-04-04,international-british-home-championship
Wales,Northern Ireland,1,1,1892-02-27,international-british-home-championship
Northern Ireland,England,0,2,1892-03-05,international-british-home-championship
Wales,England,0,2,1892-03-05,international-british-home-championship
Northern Ireland,Scotland,2,3,1892-03-19,international-british-home-championship
Scotland,Wales,6,1,1892-03-26,international-british-home-championship
Scotland,England,1,4,1892-04-02,international-british-home-championship
England,Northern Ireland,6,1,1893-02-25,international-british-home-championship
England,Wales,6,0,1893-03-13,international-british-home-championship
Wales,Scotland,0,8,1893-03-18,international-british-home-championship
Scotland,Northern Ireland,6,1,1893-03-25,international-british-home-championship
England,Scotland,5,2,1893-04-01,international-british-home-championship
Wales,Northern Ireland,4,1,1894-02-24,international-british-home-championship
Northern Ireland,England,2,2,1894-03-03,international-british-home-championship
Wales,England,1,5,1894-03-12,international-british-home-championship
Scotland,Wales,5,2,1894-03-24,international-british-home-championship
Northern Ireland,Scotland,1,2,1894-03-31,international-british-home-championship
Scotland,England,2,2,1894-04-07,international-british-home-championship
England,Northern Ireland,9,0,1895-03-09,international-british-home-championship
Northern Ireland,Wales,2,2,1895-03-16,international-british-home-championship
England,Wales,1,1,1895-03-18,international-british-home-championship
Wales,Scotland,2,2,1895-03-23,international-british-home-championship
Scotland,Northern Ireland,3,1,1895-03-30,international-british-home-championship
England,Scotland,3,0,1895-04-06,international-british-home-championship
Wales,Northern Ireland,6,1,1896-02-29,international-british-home-championship
Northern Ireland,England,0,2,1896-03-07,international-british-home-championship
Wales,England,1,9,1896-03-16,international-british-home-championship
Scotland,Wales,4,0,1896-03-21,international-british-home-championship
Northern Ireland,Scotland,3,3,1896-03-28,international-british-home-championship
Scotland,England,2,1,1896-04-04,international-british-home-championship
England,Northern Ireland,6,0,1897-02-20,international-british-home-championship
Northern Ireland,Wales,4,3,1897-03-06,international-british-home-championship
Wales,Scotland,2,2,1897-03-20,international-british-home-championship
Scotland,Northern Ireland,5,1,1897-03-27,international-british-home-championship
England,Wales,4,0,1897-03-29,international-british-home-championship
England,Scotland,1,2,1897-04-03,international-british-home-championship
Wales,Northern Ireland,0,1,1898-02-19,international-british-home-championship
Northern Ireland,England,2,3,1898-03-05,international-british-home-championship
Scotland,Wales,5,2,1898-03-19,international-british-home-championship
Northern Ireland,Scotland,0,3,1898-03-26,international-british-home-championship
Wales,England,0,3,1898-03-28,international-british-home-championship
Scotland,England,1,3,1898-04-02,international-british-home-championship
England,Northern Ireland,13,2,1899-02-18,international-british-home-championship
Northern Ireland,Wales,1,0,1899-03-04,international-british-home-championship
Wales,Scotland,0,6,1899-03-18,international-british-home-championship
England,Wales,4,0,1899-03-20,international-british-home-championship
Scotland,Northern Ireland,9,1,1899-03-25,international-british-home-championship
England,Scotland,2,1,1899-04-08,international-british-home-championship
Scotland,Wales,5,2,1900-02-03,international-british-home-championship
Wales,Northern Ireland,2,0,1900-02-24,international-british-home-championship
Northern Ireland,Scotland,0,3,1900-03-03,international-british-home-championship
Northern Ireland,England,0,2,1900-03-17,international-british-home-championship
Wales,England,1,1,1900-03-26,international-british-home-championship
Scotland,England,4,1,1900-04-07,international-british-home-championship
Scotland,Northern Ireland,11,0,1901-02-23,international-british-home-championship
Wales,Scotland,1,1,1901-03-02,international-british-home-championship
England,Northern Ireland,3,0,1901-03-09,international-british-home-championship
England,Wales,6,0,1901-03-18,international-british-home-championship
Northern Ireland,Wales,0,1,1901-03-23,international-british-home-championship
England,Scotland,2,2,1901-03-30,international-british-home-championship
Wales,Northern Ireland,0,3,1902-02-22,international-british-home-championship
Northern Ireland,Scotland,1,5,1902-03-01,international-british-home-championship
Wales,England,0,0,1902-03-03,international-british-home-championship
Scotland,Wales,5,1,1902-03-15,international-british-home-championship
Northern Ireland,England,0,1,1902-03-22,international-british-home-championship
England,Scotland,2,2,1902-05-03,international-british-home-championship
Uruguay,Argentina,0,6,1902-07-20,international-friendly
Austria,Hungary,5,0,1902-10-12,international-friendly
England,Northern Ireland,4,0,1903-02-14,international-british-home-championship
England,Wales,2,1,1903-03-02,international-british-home-championship
Wales,Scotland,0,1,1903-03-09,international-british-home-championship
Scotland,Northern Ireland,0,2,1903-03-21,international-british-home-championship
Northern Ireland,Wales,2,0,1903-03-28,international-british-home-championship
England,Scotland,1,2,1903-04-04,international-british-home-championship
Hungary,Czechoslovakia,2,1,1903-04-05,international-friendly
Hungary,Austria,3,2,1903-06-11,international-friendly
Argentina,Uruguay,2,3,1903-09-13,international-friendly
Austria,Hungary,4,2,1903-10-11,international-friendly
Wales,England,2,2,1904-02-29,international-british-home-championship
Northern Ireland,England,1,3,1904-03-12,international-british-home-championship
Scotland,Wales,1,1,1904-03-12,international-british-home-championship
Wales,Northern Ireland,0,1,1904-03-21,international-british-home-championship
Northern Ireland,Scotland,1,1,1904-03-26,international-british-home-championship
Scotland,England,0,1,1904-04-09,international-british-home-championship
Belgium,France,3,3,1904-05-01,international-évence-coppée-trophy
Hungary,Austria,3,0,1904-06-02,international-friendly
Austria,Hungary,5,4,1904-10-09,international-friendly
France,Switzerland,1,0,1905-02-12,international-friendly
England,Northern Ireland,1,1,1905-02-25,international-british-home-championship
Wales,Scotland,3,1,1905-03-06,international-british-home-championship
Scotland,Northern Ireland,4,0,1905-03-18,international-british-home-championship
England,Wales,3,1,1905-03-27,international-british-home-championship
England,Scotland,1,0,1905-04-01,international-british-home-championship
Northern Ireland,Wales,2,2,1905-04-08,international-british-home-championship
Hungary,Austria,0,0,1905-04-09,international-friendly
Guernsey,Alderney,6,0,1905-04-17,international-muratti-vase
Jersey,Guernsey,0,1,1905-04-27,international-muratti-vase
Belgium,Netherlands,1,4,1905-04-30,international-friendly
Belgium,France,7,0,1905-05-07,international-friendly
Netherlands,Belgium,4,0,1905-05-14,international-friendly
Guyana,Trinidad and Tobago,1,4,1905-07-21,international-friendly
Argentina,Uruguay,0,0,1905-08-15,international-copa-lipton
Northern Ireland,England,0,5,1906-02-17,international-british-home-championship
Scotland,Wales,0,2,1906-03-03,international-british-home-championship
Northern Ireland,Scotland,0,1,1906-03-17,international-british-home-championship
Wales,England,0,1,1906-03-19,international-british-home-championship
Jersey,Guernsey,1,2,1906-03-29,international-muratti-vase
Hungary,Czechoslovakia,1,1,1906-04-01,international-friendly
Wales,Northern Ireland,4,4,1906-04-02,international-british-home-championship
Guernsey,Alderney,1,0,1906-04-02,international-muratti-vase
Scotland,England,2,1,1906-04-07,international-british-home-championship
France,Belgium,0,5,1906-04-22,international-friendly
Belgium,Netherlands,5,0,1906-04-29,international-friendly
Netherlands,Belgium,2,3,1906-05-13,international-friendly
Uruguay,Argentina,0,2,1906-08-15,international-copa-lipton
Czechoslovakia,Hungary,4,4,1906-10-07,international-friendly
Argentina,Uruguay,2,1,1906-10-21,international-copa-newton
Hungary,Austria,3,1,1906-11-04,international-friendly
England,Northern Ireland,1,0,1907-02-16,international-british-home-championship
Northern Ireland,Wales,2,3,1907-02-23,international-british-home-championship
Wales,Scotland,1,0,1907-03-04,international-british-home-championship
Scotland,Northern Ireland,3,0,1907-03-16,international-british-home-championship
England,Wales,1,1,1907-03-18,international-british-home-championship
Alderney,Jersey,1,2,1907-03-21,international-muratti-vase
Jersey,Guernsey,2,3,1907-04-04,international-muratti-vase
England,Scotland,1,1,1907-04-06,international-british-home-championship
Hungary,Czechoslovakia,5,2,1907-04-07,international-friendly
Belgium,Netherlands,1,3,1907-04-14,international-friendly
Belgium,France,1,2,1907-04-21,international-friendly
Austria,Hungary,3,1,1907-05-05,international-friendly
Netherlands,Belgium,1,2,1907-05-09,international-friendly
Czechoslovakia,Hungary,5,3,1907-10-06,international-friendly
Hungary,Austria,4,1,1907-11-03,international-friendly
Northern Ireland,England,1,3,1908-02-15,international-british-home-championship
Scotland,Wales,2,1,1908-03-07,international-british-home-championship
Switzerland,France,1,2,1908-03-08,international-friendly
Northern Ireland,Scotland,0,5,1908-03-14,international-british-home-championship
Wales,England,1,7,1908-03-16,international-british-home-championship
Belgium,Netherlands,1,4,1908-03-29,international-friendly
Guernsey,Alderney,3,0,1908-04-02,international-muratti-vase
Scotland,England,1,1,1908-04-04,international-british-home-championship
Hungary,Czechoslovakia,5,2,1908-04-05,international-friendly
Switzerland,Germany,5,3,1908-04-05,international-friendly
Guernsey,Jersey,0,4,1908-04-09,international-muratti-vase
Wales,Northern Ireland,0,1,1908-04-11,international-british-home-championship
France,Belgium,1,2,1908-04-12,international-friendly
Netherlands,Belgium,3,1,1908-04-26,international-friendly
Austria,Hungary,4,0,1908-05-03,international-friendly
Netherlands,France,4,1,1908-05-10,international-friendly
Austria,England,1,6,1908-06-06,international-friendly
Austria,Germany,3,2,1908-06-07,international-friendly
Austria,England,1,11,1908-06-08,international-friendly
Hungary,England,0,7,1908-06-10,international-friendly
Czechoslovakia,England,0,4,1908-06-13,international-friendly
Sweden,Norway,11,3,1908-07-12,international-friendly
Uruguay,Argentina,2,2,1908-08-15,international-copa-lipton
Argentina,Uruguay,2,1,1908-09-13,international-copa-newton
Argentina,Uruguay,0,1,1908-10-04,international-copa-premio-honor-argentino
France,Denmark,1,17,1908-10-22,international-olympic-games
Netherlands,Sweden,2,0,1908-10-23,international-olympic-games
Netherlands,Sweden,5,3,1908-10-25,international-friendly
Belgium,Sweden,2,1,1908-10-26,international-friendly
Hungary,Austria,5,3,1908-11-01,international-friendly
England,Northern Ireland,4,0,1909-02-13,international-british-home-championship
Wales,Scotland,3,2,1909-03-01,international-british-home-championship
England,Wales,2,0,1909-03-15,international-british-home-championship
Scotland,Northern Ireland,5,0,1909-03-15,international-british-home-championship
Guernsey,Jersey,3,0,1909-03-18,international-muratti-vase
Northern Ireland,Wales,2,3,1909-03-20,international-british-home-championship
Belgium,Netherlands,1,4,1909-03-21,international-friendly
Guernsey,Alderney,2,0,1909-03-25,international-muratti-vase
England,Scotland,2,0,1909-04-03,international-british-home-championship
Germany,Switzerland,1,0,1909-04-04,international-friendly
Hungary,Germany,3,3,1909-04-04,international-friendly
Netherlands,Belgium,4,1,1909-04-25,international-friendly
Austria,Hungary,3,4,1909-05-02,international-friendly
Belgium,France,5,2,1909-05-09,international-friendly
Hungary,England,2,4,1909-05-29,international-friendly
Hungary,Austria,1,1,1909-05-30,international-friendly
Hungary,England,2,8,1909-05-31,international-friendly
Austria,England,1,8,1909-06-01,international-friendly
Argentina,Uruguay,2,1,1909-08-15,international-copa-lipton
Uruguay,Argentina,2,2,1909-09-19,international-copa-newton
Argentina,Uruguay,3,1,1909-10-10,international-copa-premio-honor-argentino
Hungary,Austria,2,2,1909-11-07,international-friendly
Northern Ireland,England,1,1,1910-02-12,international-british-home-championship
Scotland,Wales,1,0,1910-03-05,international-british-home-championship
Belgium,Netherlands,3,2,1910-03-13,international-friendly
Wales,England,0,1,1910-03-14,international-british-home-championship
Northern Ireland,Scotland,1,0,1910-03-19,international-british-home-championship
Scotland,England,2,0,1910-04-02,international-british-home-championship
France,Belgium,0,4,1910-04-03,international-friendly
Switzerland,Germany,2,3,1910-04-03,international-friendly
Jersey,Alderney,7,1,1910-04-07,international-muratti-vase
Netherlands,Belgium,7,0,1910-04-10,international-friendly
Wales,Northern Ireland,4,1,1910-04-11,international-british-home-championship
Guernsey,Jersey,2,3,1910-04-21,international-muratti-vase
Netherlands,Germany,4,2,1910-04-24,international-friendly
Austria,Hungary,2,1,1910-05-01,international-friendly
Italy,France,6,2,1910-05-15,international-friendly
Germany,Belgium,0,3,1910-05-16,international-friendly
Hungary,Italy,6,1,1910-05-26,international-friendly
Argentina,Chile,3,1,1910-05-27,international-friendly
Chile,Uruguay,0,3,1910-05-29,international-friendly
Argentina,Chile,5,1,1910-06-05,international-friendly
Argentina,Uruguay,4,1,1910-06-12,international-friendly
Uruguay,Argentina,3,1,1910-08-15,international-copa-lipton
Chile,Argentina,0,3,1910-09-11,international-friendly
Norway,Sweden,0,4,1910-09-11,international-friendly
Germany,Netherlands,1,2,1910-10-16,international-friendly
Russia,Czechoslovakia,5,4,1910-10-16,international-friendly
Russia,Czechoslovakia,1,0,1910-10-23,international-friendly
Hungary,Austria,3,0,1910-11-06,international-friendly
Argentina,Uruguay,1,1,1910-11-13,international-copa-premio-honor-argentino
Argentina,Uruguay,2,6,1910-11-27,international-copa-premio-honor-argentino
France,Hungary,0,3,1911-01-01,international-friendly
Italy,Hungary,0,1,1911-01-06,international-friendly
Switzerland,Hungary,2,0,1911-01-08,international-friendly
Northern Ireland,Wales,1,2,1911-01-28,international-british-home-championship
England,Northern Ireland,2,1,1911-02-11,international-british-home-championship
Wales,Scotland,2,2,1911-03-06,international-british-home-championship
England,Wales,3,0,1911-03-13,international-british-home-championship
Scotland,Northern Ireland,2,0,1911-03-18,international-british-home-championship
Belgium,Netherlands,1,5,1911-03-19,international-friendly
Germany,Switzerland,6,2,1911-03-26,international-friendly
England,Scotland,1,1,1911-04-01,international-british-home-championship
Netherlands,Belgium,3,1,1911-04-02,international-friendly
France,Italy,2,2,1911-04-09,international-friendly
Guernsey,Alderney,2,1,1911-04-20,international-muratti-vase
Belgium,Germany,2,1,1911-04-23,international-friendly
Switzerland,France,5,2,1911-04-23,international-friendly
Jersey,Guernsey,4,1,1911-04-27,international-muratti-vase
Belgium,France,7,1,1911-04-30,international-friendly
Austria,Hungary,3,1,1911-05-07,international-friendly
Italy,Switzerland,2,2,1911-05-07,international-friendly
Switzerland,Italy,3,0,1911-05-21,international-friendly
Sweden,Germany,2,4,1911-06-18,international-friendly
Argentina,Uruguay,0,2,1911-08-15,international-copa-lipton
Sweden,Norway,4,1,1911-09-17,international-friendly
Uruguay,Argentina,2,3,1911-09-17,international-copa-newton
Uruguay,Argentina,1,1,1911-10-08,international-copa-premio-honor-uruguayo
Germany,Austria,1,2,1911-10-09,international-friendly
Argentina,Uruguay,2,0,1911-10-22,international-copa-premio-honor-argentino
Finland,Sweden,2,5,1911-10-22,international-friendly
Germany,Sweden,1,3,1911-10-29,international-friendly
Hungary,Switzerland,9,0,1911-10-29,international-friendly
Luxembourg,France,1,4,1911-10-29,international-friendly
Uruguay,Argentina,3,0,1911-10-29,international-copa-premio-honor-uruguayo
Hungary,Austria,2,0,1911-11-05,international-friendly
Germany,Hungary,1,4,1911-12-17,international-friendly
France,Belgium,1,1,1912-01-28,international-friendly
Northern Ireland,England,1,6,1912-02-10,international-british-home-championship
France,Catalonia,7,0,1912-02-10,international-friendly
France,Switzerland,4,1,1912-02-18,international-friendly
Belgium,Switzerland,9,2,1912-02-20,international-friendly
Scotland,Wales,1,0,1912-03-02,international-british-home-championship
Belgium,Netherlands,1,2,1912-03-10,international-friendly
Wales,England,0,2,1912-03-11,international-british-home-championship
Northern Ireland,Scotland,1,4,1912-03-16,international-british-home-championship
Italy,France,3,4,1912-03-17,international-friendly
Scotland,England,1,1,1912-03-23,international-british-home-championship
Netherlands,Germany,5,5,1912-03-24,international-friendly
Wales,Northern Ireland,2,3,1912-04-13,international-british-home-championship
Hungary,Germany,4,4,1912-04-14,international-friendly
Jersey,Guernsey,3,3,1912-04-18,international-muratti-vase
Jersey,Guernsey,2,5,1912-04-19,international-muratti-vase
Guernsey,Alderney,4,0,1912-04-25,international-muratti-vase
Netherlands,Belgium,4,3,1912-04-28,international-friendly
Austria,Hungary,1,1,1912-05-05,international-friendly
Switzerland,Germany,1,2,1912-05-05,international-friendly
Russia,Finland,1,1,1912-05-06,international-friendly
Norway,Sweden,1,2,1912-06-16,international-friendly
Sweden,Hungary,2,2,1912-06-20,international-friendly
Norway,Hungary,0,6,1912-06-23,international-friendly
Sweden,Finland,7,1,1912-06-27,international-friendly
Finland,Italy,3,2,1912-06-29,international-olympic-games
Austria,Germany,5,1,1912-06-29,international-olympic-games
Sweden,Netherlands,3,4,1912-06-29,international-olympic-games
Finland,Russia,2,1,1912-06-30,international-olympic-games
Denmark,Norway,7,0,1912-06-30,international-olympic-games
Netherlands,Austria,3,1,1912-06-30,international-olympic-games
Austria,Norway,1,0,1912-07-01,international-olympic-games
Germany,Russia,16,0,1912-07-01,international-olympic-games
Sweden,Italy,0,1,1912-07-01,international-olympic-games
Denmark,Netherlands,4,1,1912-07-02,international-olympic-games
Hungary,Germany,3,1,1912-07-03,international-olympic-games
Austria,Italy,5,1,1912-07-03,international-olympic-games
Norway,Russia,2,1,1912-07-03,international-friendly
Netherlands,Finland,9,0,1912-07-04,international-olympic-games
Hungary,Austria,3,0,1912-07-05,international-olympic-games
Russia,Hungary,0,9,1912-07-12,international-friendly
Russia,Hungary,0,12,1912-07-14,international-friendly
Uruguay,Argentina,2,0,1912-08-15,international-copa-lipton
Uruguay,Argentina,3,0,1912-08-25,international-copa-premio-honor-uruguayo
Argentina,Uruguay,0,1,1912-09-22,international-copa-premio-honor-argentino
Argentina,Uruguay,3,3,1912-10-06,international-copa-newton
Denmark,Germany,3,1,1912-10-06,international-friendly
Hungary,Austria,4,0,1912-11-03,international-friendly
Sweden,Norway,4,2,1912-11-03,international-friendly
Germany,Netherlands,2,3,1912-11-17,international-friendly
Uruguay,Argentina,1,3,1912-12-01,international-friendly
Catalonia,France,1,0,1912-12-01,international-friendly
Italy,Austria,1,3,1912-12-22,international-friendly
France,Italy,1,0,1913-01-12,international-friendly
Northern Ireland,Wales,0,1,1913-01-18,international-british-home-championship
Philippines,China PR,2,1,1913-02-04,international-far-eastern-championship-games
Northern Ireland,England,2,1,1913-02-15,international-british-home-championship
Belgium,France,3,0,1913-02-16,international-friendly
Wales,Scotland,0,0,1913-03-03,international-british-home-championship
Belgium,Netherlands,3,3,1913-03-09,international-friendly
Switzerland,France,1,4,1913-03-09,international-friendly
Northern Ireland,Scotland,1,2,1913-03-15,international-british-home-championship
England,Wales,4,3,1913-03-17,international-british-home-championship
Jersey,Alderney,5,2,1913-04-03,international-muratti-vase
England,Scotland,1,0,1913-04-05,international-british-home-championship
Jersey,Guernsey,2,4,1913-04-17,international-muratti-vase
France,Luxembourg,8,0,1913-04-20,international-friendly
Netherlands,Belgium,2,4,1913-04-20,international-friendly
Austria,Hungary,1,4,1913-04-27,international-friendly
Italy,Belgium,1,0,1913-05-01,international-friendly
Russia,Sweden,1,4,1913-05-04,international-friendly
Switzerland,Belgium,1,2,1913-05-04,international-friendly
Germany,Switzerland,1,2,1913-05-18,international-friendly
Hungary,Sweden,2,0,1913-05-18,international-friendly
Denmark,Sweden,8,0,1913-05-25,international-friendly
Sweden,Norway,9,0,1913-06-08,international-friendly
Argentina,Uruguay,1,1,1913-06-15,international-friendly
Austria,Italy,2,0,1913-06-15,international-friendly
Argentina,Uruguay,2,1,1913-07-09,international-friendly
Argentina,Uruguay,4,0,1913-08-15,international-copa-lipton
Argentina,Uruguay,2,0,1913-08-31,international-copa-premio-honor-argentino
Russia,Norway,1,1,1913-09-14,international-friendly
Chile,Argentina,0,2,1913-09-21,international-friendly
Sweden,Denmark,0,10,1913-10-05,international-friendly
Uruguay,Argentina,1,0,1913-10-05,international-copa-premio-honor-uruguayo
Germany,Denmark,1,4,1913-10-26,international-friendly
Hungary,Austria,4,3,1913-10-26,international-friendly
Norway,Sweden,1,1,1913-10-26,international-friendly
Uruguay,Argentina,1,0,1913-10-26,international-copa-newton
Belgium,Switzerland,2,0,1913-11-02,international-friendly
Belgium,Germany,6,2,1913-11-23,international-friendly
Italy,Austria,0,0,1914-01-11,international-friendly
Wales,Northern Ireland,1,2,1914-01-19,international-british-home-championship
France,Belgium,4,3,1914-01-25,international-friendly
Luxembourg,France,5,4,1914-02-08,international-friendly
England,Northern Ireland,0,3,1914-02-14,international-british-home-championship
Scotland,Wales,0,0,1914-02-28,international-british-home-championship
France,Switzerland,2,2,1914-03-08,international-friendly
Northern Ireland,Scotland,1,1,1914-03-14,international-british-home-championship
Belgium,Netherlands,2,4,1914-03-15,international-friendly
Wales,England,0,2,1914-03-16,international-british-home-championship
Italy,France,2,0,1914-03-29,international-friendly
Guernsey,Alderney,4,0,1914-04-02,international-muratti-vase
Scotland,England,3,1,1914-04-04,international-british-home-championship
Italy,Switzerland,1,1,1914-04-05,international-friendly
Netherlands,Germany,4,4,1914-04-05,international-friendly
Guernsey,Jersey,2,1,1914-04-23,international-muratti-vase
Netherlands,Belgium,4,2,1914-04-26,international-friendly
Austria,Hungary,2,0,1914-05-03,international-friendly
Denmark,Netherlands,4,3,1914-05-17,international-friendly
Switzerland,Italy,0,1,1914-05-17,international-friendly
Sweden,Finland,4,3,1914-05-24,international-friendly
Hungary,France,5,1,1914-05-31,international-friendly
Sweden,Hungary,1,1,1914-06-21,international-friendly
Norway,Sweden,0,1,1914-06-28,international-friendly
Sweden,Russia,2,2,1914-07-05,international-friendly
Norway,Russia,1,1,1914-07-12,international-friendly
Uruguay,Argentina,3,2,1914-08-30,international-copa-premio-honor-uruguayo
Argentina,Uruguay,2,1,1914-09-13,international-copa-premio-honor-argentino
Argentina,Brazil,3,0,1914-09-20,international-friendly
Argentina,Brazil,0,1,1914-09-27,international-copa-roca
Hungary,Austria,2,2,1914-10-04,international-friendly
Sweden,Norway,7,0,1914-10-25,international-friendly
Austria,Hungary,1,2,1914-11-08,international-friendly
Basque Country,Catalonia,6,1,1915-01-03,international-friendly
Italy,Switzerland,3,1,1915-01-31,international-friendly
Catalonia,Basque Country,2,2,1915-02-07,international-friendly
Hungary,Austria,2,5,1915-05-02,international-friendly
Basque Country,Catalonia,1,0,1915-05-13,international-friendly
China PR,Philippines,0,0,1915-05-18,international-far-eastern-championship-games
China PR,Philippines,1,0,1915-05-19,international-far-eastern-championship-games
Austria,Hungary,1,2,1915-05-30,international-friendly
Denmark,Sweden,2,0,1915-06-06,international-friendly
Norway,Sweden,1,1,1915-06-27,international-friendly
Uruguay,Argentina,2,3,1915-07-18,international-copa-premio-honor-uruguayo
Argentina,Uruguay,2,1,1915-08-15,international-copa-lipton
Uruguay,Argentina,2,0,1915-09-12,international-copa-newton
Denmark,Norway,8,1,1915-09-19,international-friendly
Austria,Hungary,4,2,1915-10-03,international-friendly
Sweden,Norway,5,2,1915-10-24,international-friendly
Sweden,Denmark,0,2,1915-10-31,international-friendly
Hungary,Austria,6,2,1915-11-07,international-friendly
Austria,Hungary,3,1,1916-05-07,international-friendly
Catalonia,Basque Country,1,3,1916-05-21,international-friendly
Catalonia,Basque Country,0,0,1916-05-22,international-friendly
Denmark,Sweden,2,0,1916-06-04,international-friendly
Hungary,Austria,2,1,1916-06-04,international-friendly
Basque Country,Catalonia,5,0,1916-06-04,international-friendly
Norway,Denmark,0,2,1916-06-25,international-friendly
Chile,Uruguay,0,4,1916-07-02,international-copa-américa
Sweden,Norway,6,0,1916-07-02,international-friendly
Argentina,Chile,6,1,1916-07-06,international-copa-américa
Brazil,Chile,1,1,1916-07-08,international-copa-américa
Argentina,Brazil,1,1,1916-07-10,international-copa-américa
Argentina,Chile,1,0,1916-07-12,international-friendly
Brazil,Uruguay,1,2,1916-07-12,international-copa-américa
Uruguay,Chile,4,1,1916-07-14,international-friendly
Argentina,Uruguay,0,0,1916-07-17,international-copa-américa
Uruguay,Brazil,0,1,1916-07-18,international-friendly
Argentina,Uruguay,3,1,1916-08-15,international-copa-newton
Uruguay,Argentina,1,2,1916-08-15,international-copa-lipton
Sweden,United States,2,3,1916-08-20,international-friendly
Norway,United States,1,1,1916-09-03,international-friendly
Argentina,Uruguay,7,2,1916-10-01,international-friendly
Hungary,Austria,2,3,1916-10-01,international-friendly
